course_name	course_author	course_status	course_published_dt
Programming using Python	Bob Dillon	published	2020-09-30
Data Engineering using Python	Bob Dillon	published	2020-07-15
Data Engineering using Scala	Elvis Presley	draft	
Programming using Scala	Elvis Presley	published	2020-05-12
Programming using Java	Mike Jack	inactive	2020-08-10
Web Applications - Python Flask	Bob Dillon	inactive	2020-07-20
Web Applications - Java Spring	Mike Jack	draft	
Pipeline Orchestration - Python	Bob Dillon	draft	
Streaming Pipelines - Python	Bob Dillon	published	2020-10-05
Web Applications - Scala Play	Elvis Presley	inactive	2020-09-30
Web Applications - Python Django	Bob Dillon	published	2020-06-23
Server Automation - Ansible	Uncle Sam	published	2020-07-05